member,party,state,chamber,raised,spent,cash_on_hand,debts
Donald McEachin,Democratic,Virginia,House,821439.0,722678.0,307893.0,0.0
Doris Matsui,Democratic,California,House,1284829.0,1151252.0,402988.0,0.0
Doug LaMalfa,Republican,California,House,783541.0,367065.0,507617.0,430.0
Doug Lamborn,Republican,Colorado,House,465226.0,661939.0,232064.0,0.0
Drew Ferguson,Republican,Georgia,House,3163351.0,2731173.0,770264.0,0.0
Dusty Johnson,Republican,South Dakota,House,2447306.0,1232550.0,2264896.0,0.0
Dutch Ruppersberger,Democratic,Maryland,House,970454.0,830599.0,1344068.0,0.0
Dwight Evans,Democratic,Pennsylvania,House,1083660.0,1069356.0,196906.0,0.0
Earl Blumenauer,Democratic,Oregon,House,1218880.0,1185765.0,790459.0,0.0
Ed Case,Democratic,Hawaii,House,991211.0,606459.0,501453.0,0.0
Ed Markey,Democratic,Massachusetts,Senate,904754.0,998253.0,1558477.0,0.0
Ed Perlmutter,Democratic,Colorado,House,627622.0,959386.0,721931.0,0.0
Eddie Bernice Johnson,Democratic,Texas,House,15000.0,111535.0,319149.0,0.0
Elaine Luria,Democratic,Virginia,House,8724776.0,5845980.0,3020970.0,0.0
Eleanor Holmes Norton,Democratic,District of Columbia,Senate,217953.0,273075.0,42506.0,0.0
Elise Stefanik,Republican,New York,House,8417574.0,7381711.0,3019403.0,0.0
Elissa Slotkin,Democratic,Michigan,House,8700992.0,6471192.0,3796480.0,0.0
Elizabeth Warren,Democratic,Massachusetts,Senate,4754168.0,3828062.0,2251694.0,0.0
Emanuel Cleaver,Democratic,Missouri,House,1042771.0,914101.0,1056533.0,0.0
Eric Swalwell,Democratic,California,House,3390174.0,2979716.0,913386.0,0.0
Frank Lucas,Republican,Oklahoma,House,1388678.0,1424753.0,246103.0,0.0
Frank Mrvan,Democratic,Indiana,House,1871503.0,1594630.0,391100.0,0.0
Frank Pallone Jr.,Democratic,New Jersey,House,2803934.0,2339583.0,3801946.0,0.0
Fred Keller,Republican,Pennsylvania,House,634266.0,677872.0,432173.0,0.0
Fred Upton,Republican,Michigan,House,1396865.0,1035867.0,548873.0,0.0
Frederica Wilson,Democratic,Florida,House,563173.0,372925.0,610833.0,15250.0
French Hill,Republican,Arkansas,House,2895371.0,2141876.0,1164573.0,0.0
G.K. Butterfield,Democratic,North Carolina,House,217083.0,549535.0,331504.0,0.0
Garret Graves,Republican,Louisiana,House,1733173.0,1156648.0,2603433.0,0.0
Gary Palmer,Republican,Alabama,House,1113250.0,1011061.0,472876.0,0.0
Gary Peters,Democratic,Michigan,Senate,3667685.0,811365.0,4626592.0,0.0
Gerry Connolly,Democratic,Virginia,House,1941614.0,1056208.0,3777325.0,40631.0
Glenn Grothman,Republican,Wisconsin,House,1210017.0,905520.0,573927.0,139110.0
Glenn Thompson,Republican,Pennsylvania,House,2412193.0,2084240.0,421129.0,0.0
Grace Meng,Democratic,New York,House,1423370.0,900247.0,918643.0,0.0
Grace Napolitano,Democratic,California,House,295443.0,176910.0,651863.0,5000.0
Greg Murphy,Republican,North Carolina,House,1724862.0,1227846.0,759247.0,0.0
Greg Pence,Republican,Indiana,House,2097733.0,2112033.0,496526.0,20574.0
Greg Stanton,Democratic,Arizona,House,3879556.0,2971064.0,1952894.0,0.0
Greg Steube,Republican,Florida,House,1472022.0,831312.0,964486.0,0.0
Gregory Meeks,Democratic,New York,House,2498238.0,1474002.0,1805708.0,0.0
Gus Bilirakis,Republican,Florida,House,1746079.0,1488258.0,332931.0,0.0
Guy Reschenthaler,Republican,Pennsylvania,House,1701888.0,1831816.0,557651.0,0.0
Gwen Moore,Democratic,Wisconsin,House,1042952.0,966329.0,110623.0,0.0
Hakeem Jeffries,Democratic,New York,House,5529626.0,4878372.0,2796536.0,0.0
Hal Rogers,Republican,Kentucky,House,696558.0,859416.0,674044.0,0.0
Haley Stevens,Democratic,Michigan,House,5300715.0,4643235.0,742473.0,0.0
Hank Johnson,Democratic,Georgia,House,481307.0,570238.0,93468.0,6211.0
Henry Cuellar,Democratic,Texas,House,4269860.0,4984190.0,836142.0,0.0
Ilhan Omar,Democratic,Minnesota,House,2828252.0,2786198.0,209823.0,0.0
Jack Reed,Democratic,Rhode Island,Senate,472779.0,557790.0,1924376.0,0.0
Jackie Speier,Democratic,California,House,273672.0,335736.0,1717707.0,477.0
Jacky Rosen,Democratic,Nevada,Senate,4215388.0,2470764.0,3406319.0,15000.0
Jahana Hayes,Democratic,Connecticut,House,2253420.0,1724204.0,1558823.0,0.0
Jaime Herrera Beutler,Republican,Washington,House,3078342.0,3127968.0,36537.0,47000.0
Jake Auchincloss,Democratic,Massachusetts,House,2824798.0,937214.0,2345366.0,0.0
Jake Ellzey,Republican,Texas,House,6278712.0,5713656.0,565055.0,0.0
Jake LaTurner,Republican,Kansas,House,1393362.0,588372.0,819937.0,0.0
Jamaal Bowman,Democratic,New York,House,1754371.0,1720690.0,111155.0,26410.0
James Comer,Republican,Kentucky,House,1506882.0,779716.0,1129628.0,0.0
James Clyburn,Democratic,South Carolina,House,3208608.0,2644422.0,2544681.0,0.0
Jim Risch,Republican,Idaho,Senate,403990.0,302624.0,2288912.0,0.0
James Lankford,Republican,Oklahoma,Senate,5429416.0,3860244.0,2482347.0,0.0
Jim McGovern,Democratic,Massachusetts,House,975577.0,783053.0,457469.0,0.0
Jamie Raskin,Democratic,Maryland,House,4160925.0,2465547.0,3033907.0,0.0
Jan Schakowsky,Democratic,Illinois,House,1445030.0,1283092.0,910992.0,0.0
Jared Golden,Democratic,Maine,House,5051130.0,3902805.0,1279185.0,0.0
Jared Huffman,Democratic,California,House,827098.0,670493.0,1079047.0,0.0
Jason Crow,Democratic,Colorado,House,2417062.0,1789315.0,1916752.0,0.0
Jason Smith,Republican,Missouri,House,2714726.0,3419235.0,827170.0,0.0
Jay Obernolte,Republican,California,House,854849.0,559391.0,365041.0,1331970.0
Jeanne Shaheen,Democratic,New Hampshire,Senate,1020109.0,825784.0,1312786.0,0.0
Jeff Duncan,Republican,South Carolina,House,1536235.0,1333874.0,684771.0,0.0
Jeff Merkley,Democratic,Oregon,Senate,1558322.0,1259364.0,4104519.0,0.0
Jeff Van Drew,Republican,New Jersey,House,2816286.0,2083474.0,924689.0,0.0
Jennifer Wexton,Democratic,Virginia,House,3369890.0,2379436.0,3131151.0,0.0
Jenniffer Gonzalez,Republican,Puerto Rico,Senate,560343.0,407384.0,265291.0,0.0
Jerrold Nadler,Democratic,New York,House,2124293.0,2523595.0,124113.0,0.0
Jerry Carl,Republican,Alabama,House,923401.0,524947.0,510426.0,474738.0
Jerry McNerney,Democratic,California,House,538284.0,636872.0,135584.0,0.0
Jerry Moran,Republican,Kansas,Senate,4880505.0,1296606.0,6134163.0,333216.0
Jesus Garcia,Democratic,Illinois,House,844278.0,737068.0,233967.0,0.0
Jim Baird,Republican,Indiana,House,335990.0,253537.0,345255.0,170000.0
Jim Banks,Republican,Indiana,House,2302093.0,1286076.0,1460443.0,27052.0
Jim Cooper,Democratic,Tennessee,House,561230.0,565141.0,269023.0,0.0
Jim Costa,Democratic,California,House,1727906.0,1181490.0,956586.0,3435.0
Jim Himes,Democratic,Connecticut,House,1520006.0,1252777.0,2090429.0,0.0
Jim Jordan,Republican,Ohio,House,12417107,9675701.0,8855217.0,0.0
Jim Langevin,Democratic,Rhode Island,House,402848.0,520692.0,593630.0,0.0
Jimmy Gomez,Democratic,California,House,1566445.0,1093316.0,962647.0,13201.0
Jimmy Panetta,Democratic,California,House,2287480.0,1346762.0,2116074.0,0.0
Joaquin Castro,Democratic,Texas,House,638820.0,482993.0,271573.0,0.0
Jodey Arrington,Republican,Texas,House,1888539.0,1568139.0,1419753.0,0.0
Jody Hice,Republican,Georgia,House,-42855.0,181189.0,25871.0,0.0
Joe Courtney,Democratic,Connecticut,House,1729051.0,1272645.0,1172217.0,0.0
Joe Manchin,Democratic,West Virginia,Senate,7790164.0,835794.0,9414431.0,0.0
Joe Sempolinski,Republican,New York,House,241369.0,240382.0,986.0,18000.0
Joe Wilson,Republican,South Carolina,House,910221.0,683561.0,301026.0,0.0
John Barrasso,Republican,Wyoming,Senate,1480419.0,1320611.0,4281697.0,0.0
John Bergman,Republican,Michigan,House,1622189.0,1012886.0,749702.0,72680.0
John Boozman,Republican,Arkansas,Senate,6252176.0,5947581.0,1211436.0,0.0
John Carter,Republican,Texas,House,1192842.0,1006781.0,386467.0,0.0
John Cornyn,Republican,Texas,Senate,1974574.0,1155981.0,1452053.0,0.0
Tom Rice,Republican,South Carolina,House,1587079.0,2296616.0,411817.0,0.0
Tom Suozzi,Democratic,New York,House,1548007.0,3393860.0,109143.0,30379.0
