member,party,state,chamber,raised,spent,cash_on_hand,debts
Mike Doyle,Democratic,Pennsylvania,House,166850.0,354781.0,77965.0,0.0
Mike Gallagher,Republican,Wisconsin,House,2940815.0,1130175.0,2980001.0,0.0
Mike Garcia,Republican,California,House,6128156.0,4621964.0,1884050.0,169894.0
Mike Johnson,Republican,Louisiana,House,1276358.0,1039697.0,906346.0,0.0
Mike Kelly,Republican,Pennsylvania,House,1180269.0,865325.0,1273468.0,95000.0
Mike Lee,Republican,Utah,Senate,7703753.0,6837453.0,1415684.0,0.0
Mike Levin,Democratic,California,House,4448589.0,3933903.0,2016947.0,5000.0
Mike Quigley,Democratic,Illinois,House,963237.0,683359.0,1302225.0,0.0
Mike Rounds,Republican,South Dakota,Senate,138756.0,476486.0,1344792.0,0.0
Mike Simpson,Republican,Idaho,House,1547000.0,1534292.0,189022.0,0.0
Mike Thompson,Democratic,California,House,2000373.0,1899090.0,1847454.0,20794.0
Mikie Sherrill,Democratic,New Jersey,House,5622081.0,5381147.0,3372654.0,0.0
Mitch McConnell,Republican,Kentucky,Senate,5503392.0,4543999.0,7771094.0,0.0
Mitt Romney,Republican,Utah,Senate,474786.0,608948.0,467216.0,0.0
Mo Brooks,Republican,Alabama,House,3148542.0,4270401.0,15641.0,0.0
Mondaire Jones,Democratic,New York,House,3013074.0,3724475.0,86188.0,0.0
Morgan Griffith,Republican,Virginia,House,720632.0,561948.0,580125.0,0.0
Nancy Mace,Republican,South Carolina,House,5119356.0,4381625.0,797217.0,100.0
Nancy Pelosi,Democratic,California,House,22216583,21814643,6701313.0,0.0
Nanette Barragán,Democratic,California,House,1107829.0,561441.0,1597139.0,0.0
Neal Dunn,Republican,Florida,House,1531504.0,1130495.0,803071.0,303284.0
Nicole Malliotakis,Republican,New York,House,4260780.0,2760113.0,1523610.0,0.0
Nikema Williams,Democratic,Georgia,House,1066976.0,1162211.0,95928.0,0.0
Norma Torres,Democratic,California,House,677046.0,486938.0,397761.0,2243.0
Nydia Velazquez,Democratic,New York,House,543105.0,526529.0,326957.0,7736.0
Pat Ryan,Democratic,New York,House,3352245.0,2799498.0,553243.0,0.0
Pat Toomey,Republican,Pennsylvania,Senate,13254.0,394707.0,1103643.0,0.0
Pat Fallon,Republican,Texas,House,730885.0,704310.0,188683.0,25000.0
Patrick Leahy,Democratic,Vermont,Senate,812657.0,825290.0,1486031.0,0.0
Patrick McHenry,Republican,North Carolina,House,3471514.0,3052628.0,2125855.0,0.0
Patty Murray,Democratic,Washington,Senate,13377243,13073248,3786960.0,0.0
Paul Gosar,Republican,Arizona,House,737101.0,711469.0,39380.0,0.0
Paul Tonko,Democratic,New York,House,1661023.0,1476649.0,996034.0,0.0
Pete Aguilar,Democratic,California,House,2916586.0,2421160.0,2335020.0,0.0
Pete Sessions,Republican,Texas,House,876121.0,732508.0,309602.0,120000.0
Pete Stauber,Republican,Minnesota,House,2279020.0,1181123.0,1100665.0,0.0
Peter DeFazio,Democratic,Oregon,House,0.0,0.0,0.0,0.0
Peter Meijer,Republican,Michigan,House,2399884.0,2381236.0,106846.0,480000.0
Peter Welch,Democratic,Vermont,House,5143410.0,2456802.0,2686607.0,0.0
Pramila Jayapal,Democratic,Washington,House,2533189.0,1700676.0,2616125.0,0.0
Raja Krishnamoorthi,Democratic,Illinois,House,7843935.0,4638387.0,11633394,0.0
Ralph Norman,Republican,South Carolina,House,306434.0,508078.0,526295.0,0.0
Rand Paul,Republican,Kentucky,Senate,22490627,15865010,8308644.0,0.0
Randy Feenstra,Republican,Iowa,House,2664811.0,1505476.0,1171281.0,0.0
Randy Weber,Republican,Texas,House,921792.0,873717.0,519482.0,124000.0
Raphael Warnock,Democratic,Georgia,Senate,86581469,75959810,22762985,0.0
Rashida Tlaib,Democratic,Michigan,House,3105241.0,3070877.0,426096.0,0.0
Raul Grijalva,Democratic,Arizona,House,549117.0,412910.0,362415.0,4015.0
Raul Ruiz,Democratic,California,House,2099148.0,1785769.0,2629550.0,0.0
Richard Blumenthal,Democratic,Connecticut,Senate,6871179.0,6230804.0,4544418.0,0.0
Richard Burr,Republican,North Carolina,Senate,145474.0,208721.0,3322.0,0.0
Richard Shelby,Republican,Alabama,Senate,20520.0,226622.0,9558166.0,0.0
Richard Neal,Democratic,Massachusetts,House,3163938.0,2089988.0,3458513.0,0.0
Richard Hudson,Republican,North Carolina,House,2846323.0,1559526.0,1517715.0,0.0
Rick Allen,Republican,Georgia,House,856257.0,607298.0,895868.0,1125000.0
Rick Crawford,Republican,Arkansas,House,979267.0,543708.0,618266.0,0.0
Rick Larsen,Democratic,Washington,House,1516417.0,1142747.0,702871.0,0.0
Rick Scott,Republican,Florida,Senate,4731925.0,5672380.0,1212013.0,1000000.0
Ritchie Torres,Democratic,New York,House,4080074.0,806930.0,3662833.0,0.0
Ro Khanna,Democratic,California,House,5550174.0,2408297.0,5403004.0,89348.0
Rob Portman,Republican,Ohio,Senate,-1386356.0,386217.0,3237052.0,0.0
Rob Wittman,Republican,Virginia,House,1859691.0,1134994.0,912028.0,0.0
Robert Aderholt,Republican,Alabama,House,1385034.0,647570.0,1384467.0,0.0
Bob Menendez,Democratic,New Jersey,Senate,4598365.0,679677.0,5219723.0,0.0
Robin Kelly,Democratic,Illinois,House,1562228.0,1094311.0,1482329.0,0.0
Rodney Davis,Republican,Illinois,House,3304702.0,3406429.0,38708.0,0.0
Roger Marshall,Republican,Kansas,Senate,605073.0,392087.0,422944.0,97000.0
Roger Wicker,Republican,Mississippi,Senate,1386724.0,756088.0,2318412.0,0.0
Roger Williams,Republican,Texas,House,1589224.0,1231307.0,369458.0,47900.0
Ron Estes,Republican,Kansas,House,1674579.0,1075157.0,1443586.0,0.0
Ron Johnson,Republican,Wisconsin,Senate,27680901,23731653,4508581.0,11759857
Ron Kind,Democratic,Wisconsin,House,587143.0,695941.0,768373.0,0.0
Ron Wyden,Democratic,Oregon,Senate,10024604,6264627.0,5986323.0,0.0
Ronny Jackson,Republican,Texas,House,4442159.0,3782300.0,1046998.0,0.0
Rosa DeLauro,Democratic,Connecticut,House,1895941.0,1211915.0,843754.0,0.0
Roy Blunt,Republican,Missouri,Senate,-367162.0,513399.0,861989.0,0.0
Ruben Gallego,Democratic,Arizona,House,2153850.0,1416479.0,1354341.0,0.0
Russ Fulcher,Republican,Idaho,House,479167.0,383652.0,198346.0,0.0
Salud Carbajal,Democratic,California,House,2031545.0,906948.0,2525300.0,0.0
Sam Graves,Republican,Missouri,House,2005290.0,1507525.0,1354737.0,43683.0
Sanford Bishop Jr.,Democratic,Georgia,House,2680786.0,1832607.0,1040707.0,0.0
Sara Jacobs,Democratic,California,House,1584377.0,1432530.0,254013.0,0.0
Scott Desjarlais,Republican,Tennessee,House,141458.0,140755.0,303352.0,0.0
Scott Fitzgerald,Republican,Wisconsin,House,919350.0,684771.0,421894.0,0.0
Scott Franklin,Republican,Florida,House,972575.0,601487.0,396568.0,422762.0
Scott Perry,Republican,Pennsylvania,House,2529397.0,1546285.0,1150812.0,119566.0
Scott Peters,Democratic,California,House,2227355.0,1978300.0,1830173.0,170760.0
Sean Casten,Democratic,Illinois,House,4650448.0,4206412.0,790173.0,75694.0
Sean Maloney,Democratic,New York,House,4717097.0,4620358.0,956740.0,903.0
Seth Moulton,Democratic,Massachusetts,House,1867651.0,1379427.0,733892.0,0.0
Sharice Davids,Democratic,Kansas,House,6717662.0,5671654.0,1525158.0,0.0
Sheila Cherfilus-McCormick,Democratic,Florida,House,4250064.0,4276527.0,13498.0,3848131.0
Sheila Jackson Lee,Democratic,Texas,House,761516.0,488238.0,537223.0,0.0
Sheldon Whitehouse,Democratic,Rhode Island,Senate,1373474.0,645659.0,1247257.0,0.0
Shelley Moore Capito,Republican,West Virginia,Senate,707321.0,428963.0,2748888.0,0.0
Sherrod Brown,Democratic,Ohio,Senate,3672268.0,2884655.0,2951256.0,0.0
Shontel Brown,Democratic,Ohio,House,4522424.0,4147205.0,414847.0,0.0
Stacey Plaskett,Democratic,Virgin Islands,Senate,920408.0,830112.0,152483.0,24733.0
Steny Hoyer,Democratic,Maryland,House,3583458.0,3534293.0,928232.0,764.0
Stephanie Bice,Republican,Oklahoma,House,2185504.0,1597240.0,799854.0,0.0
Stephanie Murphy,Democratic,Florida,House,1111888.0,1106700.0,1417204.0,0.0
Stephen Lynch,Democratic,Massachusetts,House,714987.0,694030.0,1234341.0,0.0
Steve Chabot,Republican,Ohio,House,1731244.0,1103591.0,678565.0,0.0
Steve Cohen,Democratic,Tennessee,House,509828.0,264993.0,1460953.0,0.0
Steve Scalise,Republican,Louisiana,House,17940130,19428130,4729718.0,0.0
Steve Womack,Republican,Arkansas,House,1404019.0,808587.0,1958688.0,0.0
Steve Daines,Republican,Montana,Senate,1179969.0,529216.0,758536.0,44813.0
Steven Horsford,Democratic,Nevada,House,4254563.0,3481983.0,1268497.0,2375.0
Steven Palazzo,Republican,Mississippi,House,1048457.0,1315531.0,33954.0,30000.0
Susan Collins,Republican,Maine,Senate,966641.0,687093.0,1574740.0,0.0
Susan Wild,Democratic,Pennsylvania,House,5771483.0,4270837.0,1579342.0,0.0
Susie Lee,Democratic,Nevada,House,5420136.0,4228959.0,1219881.0,0.0
Suzan DelBene,Democratic,Washington,House,2252066.0,2045946.0,1545237.0,495000.0
Suzanne Bonamici,Democratic,Oregon,House,918476.0,843310.0,628512.0,0.0
Sylvia Garcia,Democratic,Texas,House,836909.0,468144.0,616363.0,0.0
Tammy Baldwin,Democratic,Wisconsin,Senate,3943221.0,3155369.0,2741555.0,0.0
Tammy Duckworth,Democratic,Illinois,Senate,13588871,8631795.0,7631025.0,0.0
Ted Budd,Republican,North Carolina,House,11030158,9170583.0,2930574.0,275000.0
Ted Cruz,Republican,Texas,Senate,17471712,18818227,3248487.0,0.0
Ted Deutch,Democratic,Florida,House,309658.0,552315.0,217159.0,0.0
Ted Lieu,Democratic,California,House,1323092.0,2074087.0,1193368.0,0.0
Teresa Leger Fernandez,Democratic,New Mexico,House,2684930.0,1812604.0,1033795.0,0.0
Terri Sewell,Democratic,Alabama,House,2093425.0,1179817.0,3157088.0,0.0
Thom Tillis,Republican,North Carolina,Senate,783940.0,882010.0,736838.0,0.0
Thomas Massie,Republican,Kentucky,House,973980.0,884305.0,209059.0,0.0
Tim Burchett,Republican,Tennessee,House,1314552.0,970838.0,937391.0,13803.0
Tim Kaine,Democratic,Virginia,Senate,2239085.0,832884.0,3922102.0,0.0
Tim Ryan,Democratic,Ohio,House,38334636,36909832,1424804.0,68075.0
Tim Scott,Republican,South Carolina,Senate,37743256,23876921,21539824,0.0
Tim Walberg,Republican,Michigan,House,1375262.0,1018729.0,1125901.0,0.0
Tina Smith,Democratic,Minnesota,Senate,1418349.0,1505859.0,714245.0,0.0
Todd Young,Republican,Indiana,Senate,10055406,6932873.0,5501025.0,0.0
Tom Carper,Democratic,Delaware,Senate,697627.0,531955.0,470019.0,0.0
Tom Cole,Republican,Oklahoma,House,2095503.0,2000560.0,1372131.0,0.0
Tom Cotton,Republican,Arkansas,Senate,4637570.0,3054045.0,7980477.0,77959.0
Tom Emmer,Republican,Minnesota,House,3893173.0,3249177.0,1092835.0,0.0
Tom Malinowski,Democratic,New Jersey,House,7599512.0,4867489.0,2783118.0,0.0
Tom McClintock,Republican,California,House,1509014.0,1490054.0,189780.0,0.0
Tom O'Halleran,Democratic,Arizona,House,3688187.0,1911807.0,1839527.0,0.0
